product_id,product_category,revenue,units,orders,revenue_share,rank
4781,Home & Kitchen,8640.3665,29,7,0.00026289217259544404,1
3892,Beauty,8114.1245,25,6,0.0002468807102702091,2
4069,Fashion,8088.7,22,5,0.00024610714331073434,3
3222,Sports,8087.726500000001,26,7,0.00024607752355675495,4
3455,Fashion,7946.008,27,7,0.00024176559021897728,5
1980,Electronics,7916.5515,33,8,0.00024086934544949234,6
4037,Home & Kitchen,7879.565,25,5,0.00023974399256756294,7
4184,Beauty,7714.8009999999995,26,7,0.00023473087582934172,8
4590,Fashion,7700.8515,27,7,0.00023430644772648058,9
1329,Sports,7618.428999999999,29,8,0.0002317986571025819,10
